player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Abdulellah Al-Malki,MF,Al-Hilal,Saudi Arabia,174,1.9,0,0,0.0,0.0,0.1,0.0,0.06,2,0,1,2,3,0,4
Dani Olmo,FW,RB Leipzig,Spain,367,4.1,1,1,0.25,0.25,1.4,0.11,0.34,0,0,3,1,5,0,4
Josip Šutalo,DF,Dinamo Zagreb,Croatia,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,5
Noah Okafor,FW,RB Salzburg,Switzerland,45,0.5,0,0,0.0,0.0,0.0,0.09,0.05,0,0,0,0,1,0,0
Virgil van Dijk,DF,Liverpool,Netherlands,480,5.3,0,0,0.0,0.0,0.2,0.03,0.04,0,0,1,4,1,7,21
João Mário,FW,Benfica,Portugal,84,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0
Rúben Dias,DF,Manchester City,Portugal,360,4.0,0,0,0.0,0.0,0.0,0.0,0.01,1,0,4,3,2,0,9
Ángel Di María,MF,Juventus,Argentina,288,3.2,1,1,0.31,0.31,0.8,0.2,0.27,0,0,1,1,3,0,0
Bruno Petković,FW,Dinamo Zagreb,Croatia,234,2.6,1,0,0.38,0.0,0.1,0.15,0.05,1,0,4,0,1,2,0
Kwon Chang-hoon,FW,Sangju Sangmu,Korea Republic,56,0.6,0,0,0.0,0.0,0.0,0.29,0.0,0,0,0,0,0,0,0
Yann Sommer,GK,M'Gladbach,Switzerland,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Collins Fai,DF,Al-Ta'ee,Cameroon,270,3.0,0,0,0.0,0.0,0.0,0.01,0.01,2,0,2,4,2,0,7
Hwang Ui-jo,FW,Olympiacos,Korea Republic,106,1.2,0,0,0.0,0.0,0.5,0.0,0.4,0,0,0,0,0,0,1
Manuel Neuer,GK,Bayern Munich,Germany,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Roozbeh Cheshmi,DF,Esteghlal,IR Iran,58,0.6,1,0,1.55,0.0,0.1,0.0,0.08,0,0,0,2,0,1,3
Kevin Álvarez,DF,Pachuca,Mexico,70,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2,0,2
